index,horizon,factor,spearman_ic,ic_t_stat,direction_win_rate,top_mean_ret,bottom_mean_ret,top_minus_bottom,obs
CSI500,1,neg_vol_20d,-0.06511016051095116,-3.460022639242307,0.4722814498933902,-0.00010445233896141838,0.0006257392737919475,-0.0007301916127533659,2814
CSI500,1,vol_down,-0.06215712645032762,-3.2788995838759294,0.4870223503965393,-0.0007114899813096237,0.0008311654520439142,-0.001542655433353538,2774
CSI500,1,amplitude_20d,-0.0589215731694805,-3.1305049353638643,0.4724689165186501,-4.659123974637314e-05,0.00013758145175912624,-0.00018417269150549937,2815
CSI500,1,amount_ratio_60d,0.04736097651728385,2.496796834082864,0.5243243243243243,0.001709941796918699,-0.0005676090949229947,0.0022775508918416935,2775
CSI500,1,amount_ratio_20d,0.04419924153912681,2.346520273920783,0.5218472468916519,0.0016708038652830358,8.453684240556958e-05,0.0015862670228774661,2815
CSI500,1,defensive_trend,-0.043179784531613766,-2.2499370320896537,0.4882005899705015,-0.00031509842138777096,0.0008698259034504348,-0.0011849243248382058,2712
CSI500,1,intraday_strength_20d,0.03955611208335155,2.099609350606019,0.5087033747779751,0.0011680698546882727,-0.00012267188362986153,0.0012907417383181343,2815
CSI500,1,neg_vol_60d,-0.038461360461406746,-2.026481827973642,0.47512617159336695,0.00026852630319043776,-0.00010572303464805444,0.0003742493378384922,2774
CSI500,1,volatility_breakout,0.03419439685415861,1.814331560942408,0.5046197583511016,0.0009167569477669668,-0.00010414760844096622,0.001020904556207933,2814
CSI500,1,mom_20d,0.031155812110069476,1.6529420122724483,0.5046197583511016,0.0007866753872756902,-0.0001127416690600662,0.0008994170563357564,2814
CSI500,1,donchian_60d,-0.02950044007108335,-1.5541484144220912,0.47135135135135137,0.0005663349153957137,0.0005333497651731691,3.2985150222544606e-05,2775
CSI500,1,trend_vote,0.02562306973980408,1.3591939409202576,0.5074626865671642,0.0005005021371996983,-2.7905773412699554e-05,0.0005284079106123979,2814
CSI500,1,donchian_20d,-0.025346617686373838,-1.3447589135306277,0.46536412078152756,0.0005141589631179564,-1.622867718329516e-05,0.0005303876403012516,2815
CSI500,1,up_amount_share_20d,0.021497028378556573,1.1404169605618752,0.5275310834813499,0.0006264192308139919,-0.0004296443678402652,0.0010560635986542571,2815
CSI500,1,obv_slope_20d,0.02145690807927201,1.138085253894102,0.5120824449182658,0.0006056362899634445,-0.0004296443678402652,0.0010352806578037097,2814
CSI500,1,price_ma_gap_20d,0.01953132362688626,1.0379345454910514,0.5001769911504425,0.0008515922951563217,-0.00018092619771781422,0.0010325184928741359,2825
CSI500,1,mom_240d,0.018425722447704452,0.9382439207806448,0.5150346954510409,0.00023277150307447864,7.945818641149434e-05,0.0001533133166629843,2594
CSI500,1,price_ma_gap_60d,0.01477062283659303,0.7820918100569223,0.5065953654188948,0.0008322643979827597,-0.0003218662538117861,0.0011541306517945458,2805
CSI500,1,risk_adjusted_mom_60d,0.012754144724553584,0.6715576172560217,0.5068493150684932,0.00021850355051397934,-1.665742083589985e-05,0.00023516097134987918,2774
CSI500,1,ma_60_120_gap,-0.01164658198433313,-0.6066704498663598,0.5075506445672191,-0.00019452066076744673,0.0003031530097032539,-0.0004976736704707006,2715
CSI500,1,price_ma_gap_240d,-0.008492047825480747,-0.4423367150096053,0.5104972375690607,0.00011933069986525251,0.00012168775496516049,-2.3570550999079716e-06,2715
CSI500,1,mom_120d,-0.007702194175321922,-0.40111803411508035,0.5077376565954311,-7.287499467543652e-05,6.358857181471673e-06,-7.923385185690819e-05,2714
CSI500,1,reversal_5d,0.007255381294859782,0.38577544092762617,0.5164369034994698,3.480988127429119e-05,0.0004759439818394655,-0.00044113410056517433,2829
CSI500,1,price_volume_confirm,0.006639043570058511,0.34822535145785966,0.5038140210679259,0.0004749550421981588,0.0007291370929711141,-0.0002541820507729553,2753
CSI500,1,price_ma_gap_120d,-0.005816283445587253,-0.306286491966032,0.5005405405405405,0.00019735314737047598,7.815511505678047e-05,0.00011919803231369551,2775
CSI500,1,risk_adjusted_mom_120d,0.0044224685933183456,0.23031055774040188,0.5077376565954311,0.00014522629118452366,-4.045643761386248e-05,0.00018568272879838614,2714
CSI500,1,mom_120_minus_20,-0.003888371444193512,-0.20249573050460598,0.5114222549742078,-0.000765240054693879,0.00030435053908667883,-0.0010695905937805577,2714
CSI500,1,mom_fast_slow,0.003888371444193512,0.20249573050460598,0.4885777450257922,0.00030435053908667883,-0.000765240054693879,0.0010695905937805577,2714
CSI500,1,range_position_20d,0.0036630808650932383,0.19428276960521632,0.5239786856127886,0.0005107627736725044,-2.8716869194269068e-05,0.0005394796428667735,2815
CSI500,1,ma_20_60_gap,0.003182940653794964,0.16761221911022656,0.5016216216216216,0.0005334849444121892,0.000250394003441327,0.00028309094097086216,2775
CSI500,1,range_position_60d,-0.002758838993248944,-0.14527903391661007,0.5221621621621622,0.00020089272610895293,-5.591732716994052e-05,0.00025681005327889345,2775
CSI500,1,price_volume_corr_20d,0.0021412127515659206,0.11354512031297065,0.502132196162047,-1.8511084906404278e-05,0.0002818987817392753,-0.00030040986664567955,2814
CSI500,1,mom_60d,0.0011364675869319604,0.059834814256616714,0.5068493150684932,0.0003415636819681772,0.00012006128011066612,0.00022150240185751107,2774
CSI500,5,neg_vol_20d,-0.0960310821422829,-5.112368972249689,0.46227758007117437,0.0004984005238186337,0.001893362356638473,-0.0013949618328198393,2810
CSI500,5,defensive_trend,-0.09432811423983717,-4.928852558417736,0.47525849335302806,-0.0013422492607958008,0.004195909837690795,-0.005538159098486596,2708
CSI500,5,vol_down,-0.08902423135506828,-4.7023948310859724,0.4906137184115523,-0.0019140836052645165,0.00273849849440376,-0.004652582099668276,2770
CSI500,5,donchian_60d,-0.08441474624151146,-4.45792435834605,0.4655359076145796,0.0006960714001073093,0.0029071561962693802,-0.002211084796162071,2771
CSI500,5,amplitude_20d,-0.08169900795844723,-4.344571112808982,0.4624688722874422,0.00011905958080041265,0.0005445472253168269,-0.0004254876445164142,2811
CSI500,5,neg_vol_60d,-0.0568344802550902,-2.9950045802472114,0.467870036101083,0.0018361721900595183,-0.0005580668018674824,0.0023942389919270005,2770
CSI500,5,price_volume_confirm,0.055273706949771774,2.9014317647384815,0.5198253910512913,0.0024234748840081186,-0.0010313369918810219,0.00345481187588914,2749
CSI500,5,price_ma_gap_240d,-0.052130191885219265,-2.7169693507043915,0.4913316119513095,-0.0005548008787977363,0.001249974159596245,-0.0018047750383939814,2711
CSI500,5,mom_60d,-0.05086499307662402,-2.6795667141684603,0.48592057761732854,0.0009414034603315893,0.0024860266887146228,-0.0015446232283830336,2770
CSI500,5,price_ma_gap_120d,-0.0501452452982417,-2.6420312630051126,0.47672320461927103,0.0011599543578765395,0.0016161452993894768,-0.00045619094151293726,2771
CSI500,5,amount_ratio_20d,0.04976977223893504,2.6410709630774156,0.527570259694059,0.005098291827133833,-0.0003325058163566185,0.005430797643490452,2811
CSI500,5,ma_60_120_gap,-0.049423502124870206,-2.5755446853171686,0.47251936554776836,-0.001083406737685096,0.0018387444551219354,-0.002922151192807031,2711
