index,window,top_n,factor,recent_avg_weight
CSI500,126,4,cf_amp20_mean_chg20,0.27965089126207165
CSI500,126,4,cf_amount_concentration_top20_chg20,0.26431893374140425
CSI500,126,4,cf_spread_amount20_next_concentration_z,0.25613881805655614
CSI500,126,4,cf_crowding_mom20_vol_ratio_z,0.25570779652067127
CSI500,126,4,cf_crowding_amount20_amount_ratio_chg20,0.2536255318782837
CSI500,126,4,cf_weight_concentration_top20,0.2533298278851172
CSI500,126,4,cf_crowding_mom20_vol_ratio_chg20,0.25154936830991614
CSI500,126,4,cf_spread_mom20_ret1d,0.2508145993007981
CSI500,126,4,cf_crowding_amount20_amount_ratio,0.2500360121056689
CSI500,126,4,cf_crowding_mom20_amount_ratio_z,0.24999517466723076
CSI500,126,4,cf_crowding_amount20_vol_ratio,0.24979197260489952
CSI500,126,4,cf_spread_amount20_next_concentration,0.24921897609017238
CSI500,126,6,cf_amp20_mean_chg20,0.20105308555749823
CSI500,126,6,cf_spread_amount20_next_concentration_chg20,0.1786630324693594
CSI500,126,6,cf_crowding_mom20_vol_ratio_z,0.17203805440780487
CSI500,126,6,cf_weight_concentration_top20,0.17097389658152498
CSI500,126,6,cf_spread_mom20_ret1d,0.17041955539725975
CSI500,126,6,cf_spread_amount20_ret1d,0.16923841234218903
CSI500,126,6,cf_crowding_amount20_amount_ratio_chg20,0.16887411740355832
CSI500,126,6,cf_crowding_mom20_amount_ratio_z,0.16868261926591552
CSI500,126,6,cf_crowding_mom20_vol_ratio_chg20,0.16867766447945454
CSI500,126,6,cf_amount_concentration_top20_chg20,0.16857835070207225
CSI500,126,6,cf_spread_amount20_next_concentration_z,0.16814570121368824
CSI500,126,6,cf_crowding_amount20_amount_ratio,0.16749212811207773
CSI500,126,8,cf_amp20_mean_chg20,0.1647014135483022
CSI500,126,8,cf_spread_amount20_next_concentration_chg20,0.14149024826626003
CSI500,126,8,cf_mom60_dispersion,0.13379611317275947
CSI500,126,8,cf_weight_concentration_top20,0.13116199150717178
CSI500,126,8,cf_spread_mom20_ret1d,0.13067593830385993
CSI500,126,8,cf_weight_concentration_top20_z,0.13057173568179675
CSI500,126,8,cf_limit_up_like_ratio,0.1302301739137766
CSI500,126,8,cf_spread_amount20_ret1d,0.1300790499145898
CSI500,126,8,cf_crowding_mom20_vol_ratio_z,0.12990769027089233
CSI500,126,8,cf_spread_amount20_next_concentration_z,0.12811762045953398
CSI500,126,8,cf_crowding_amount20_amount_ratio_chg20,0.1277589018918585
CSI500,126,8,cf_crowding_mom20_amount_ratio_z,0.127730029223239
CSI500,252,4,cf_crowding_mom20_vol_ratio_chg20,0.2647299605211758
CSI500,252,4,cf_spread_amount20_next_concentration_z,0.2596456618801078
CSI500,252,4,cf_amount_ratio20_mean_chg20,0.2593965015564702
CSI500,252,4,cf_crowding_amount20_vol_ratio,0.2533131919279638
CSI500,252,4,cf_crowding_mom20_amount_ratio_chg20,0.2529660909336367
CSI500,252,4,cf_weight_concentration_top20,0.2519901076084019
CSI500,252,4,cf_spread_mom20_next_concentration_chg20,0.2508399296035713
CSI500,252,4,cf_coverage,0.24948769703013185
CSI500,252,4,cf_crowding_amount20_vol_ratio_chg20,0.2486722600160974
CSI500,252,4,cf_crowding_amount20_amount_ratio_chg20,0.24820316474500526
CSI500,252,4,cf_up_ratio_1d,0.2476350238200822
CSI500,252,4,cf_crowding_amount20_amp_ratio,0.24710039591942146
CSI500,252,6,cf_crowding_mom20_vol_ratio_chg20,0.1767535168732198
CSI500,252,6,cf_spread_amount20_next_concentration_z,0.1758763939241889
CSI500,252,6,cf_crowding_mom20_amount_ratio_chg20,0.16983700655644302
CSI500,252,6,cf_crowding_amount20_vol_ratio,0.16937177514592047
CSI500,252,6,cf_weight_concentration_top20,0.16794657017532197
CSI500,252,6,cf_crowding_amount20_amount_ratio_chg20,0.16746147080085574
CSI500,252,6,cf_spread_mom20_next_concentration_chg20,0.1670813972799864
CSI500,252,6,cf_amount_ratio20_mean_chg20,0.16675530453628112
CSI500,252,6,cf_coverage,0.16583268545092056
CSI500,252,6,cf_crowding_amount20_amount_ratio,0.1655862634153887
CSI500,252,6,cf_crowding_amount20_beta_ratio,0.1653389016583401
CSI500,252,6,cf_crowding_amount20_vol_ratio_chg20,0.1652120703571947
CSI500,252,8,cf_spread_amount20_next_concentration_z,0.13538583796978995
CSI500,252,8,cf_crowding_mom20_vol_ratio_chg20,0.1343137879850785
CSI500,252,8,cf_spread_mom20_next_concentration_chg20,0.1282517889351362
CSI500,252,8,cf_crowding_mom20_amount_ratio_chg20,0.12759755806260414
CSI500,252,8,cf_crowding_amount20_vol_ratio,0.12690111413651015
