index,window,top_n,factor,recent_avg_weight
CSI500,126,4,cf_amp20_mean_chg20,0.282662524856784
CSI500,126,4,cf_spread_amount20_next_concentration_z,0.258216960380015
CSI500,126,4,cf_amount_concentration_top20_chg20,0.25815045344346593
CSI500,126,4,cf_weight_concentration_top20,0.25406683528886037
CSI500,126,4,cf_crowding_amount20_amount_ratio_chg20,0.254044028724638
CSI500,126,4,cf_crowding_mom20_vol_ratio_z,0.2535419996479787
CSI500,126,4,cf_weight_concentration_top20_z,0.25251457864597837
CSI500,126,4,cf_spread_mom20_ret1d,0.25118070952451593
CSI500,126,4,cf_crowding_mom20_vol_ratio_chg20,0.25053802083693955
CSI500,126,4,cf_crowding_amount20_amount_ratio,0.25019255408914126
CSI500,126,4,cf_crowding_amount20_vol_ratio,0.2499779577459413
CSI500,126,4,cf_crowding_mom20_amount_ratio_z,0.2496692385001141
CSI500,126,6,cf_amp20_mean_chg20,0.19151808674011922
CSI500,126,6,cf_crowding_mom20_vol_ratio_z,0.17157462167549936
CSI500,126,6,cf_weight_concentration_top20,0.1712174757897216
CSI500,126,6,cf_spread_mom20_ret1d,0.17008341476958874
CSI500,126,6,cf_crowding_mom20_amount_ratio_z,0.16958992704856313
CSI500,126,6,cf_crowding_amount20_amount_ratio_chg20,0.16934512204580288
CSI500,126,6,cf_amount_concentration_top20_chg20,0.16914170326557332
CSI500,126,6,cf_crowding_mom20_vol_ratio_chg20,0.16911564683412214
CSI500,126,6,cf_weighted_above_ma20,0.16847241476856664
CSI500,126,6,cf_spread_amount20_ret1d,0.16803523852301303
CSI500,126,6,cf_spread_amount20_next_concentration_chg20,0.16792872840767353
CSI500,126,6,cf_crowding_amount20_amount_ratio,0.16792824255391858
CSI500,126,8,cf_amp20_mean_chg20,0.1592769962368017
CSI500,126,8,cf_spread_amount20_next_concentration_chg20,0.14317508210949484
CSI500,126,8,cf_spread_mom20_ret1d,0.1307833102938706
CSI500,126,8,cf_weight_concentration_top20,0.1304156869307613
CSI500,126,8,cf_mom60_dispersion,0.12968987653284728
CSI500,126,8,cf_crowding_mom20_vol_ratio_z,0.12945994757666365
CSI500,126,8,cf_spread_amount20_ret1d,0.12943641220422636
CSI500,126,8,cf_weight_concentration_top20_z,0.1290395785331364
CSI500,126,8,cf_spread_amount20_next_concentration_z,0.1279291405306516
CSI500,126,8,cf_crowding_amount20_amount_ratio_chg20,0.12788335430994735
CSI500,126,8,cf_crowding_mom20_amount_ratio_z,0.12769626293004
CSI500,126,8,cf_crowding_mom20_vol_ratio_chg20,0.12749369896385215
CSI500,252,4,cf_amount_ratio20_mean_chg20,0.26786205260006063
CSI500,252,4,cf_crowding_mom20_vol_ratio_chg20,0.2672379542802329
CSI500,252,4,cf_spread_amount20_next_concentration_z,0.25978115254023354
CSI500,252,4,cf_crowding_mom20_amount_ratio_chg20,0.25412520451308906
CSI500,252,4,cf_weight_concentration_top20,0.2534704044665474
CSI500,252,4,cf_crowding_amount20_vol_ratio,0.2532978131186259
CSI500,252,4,cf_amount_ratio20_top20_chg20,0.2524886736514588
CSI500,252,4,cf_coverage,0.2515053863345655
CSI500,252,4,cf_spread_mom20_next_concentration_chg20,0.25032227433865445
CSI500,252,4,cf_crowding_amount20_vol_ratio_chg20,0.24892470007554637
